測站,日期,AQI,空氣品質指標,O3,PM2.5,PM10,CO,SO2,NO2
中正站,2024/11/19 00:00,32,臭氧8小時,42.79,6,28,0.36,1.23,4.03
中正站,2024/11/19 01:00,33,臭氧8小時,44.28,5,28,0.34,1.24,2.68
中正站,2024/11/19 02:00,35,臭氧8小時,43.7,5,18,0.33,1.16,2.3
中正站,2024/11/19 03:00,37,臭氧8小時,43.89,6,25,0.31,1.1,2.06
中正站,2024/11/19 04:00,38,臭氧8小時,45.9,4,14,0.33,1.07,1.75
中正站,2024/11/19 05:00,39,臭氧8小時,44.35,5,20,0.34,1.04,2.19
中正站,2024/11/19 06:00,40,臭氧8小時,39.89,6,17,0.38,1.13,5.81
中正站,2024/11/19 07:00,39,臭氧8小時,34.02,5,17,0.47,1.49,13.16
中正站,2024/11/19 08:00,38,臭氧8小時,31.4,7,23,0.53,1.23,15.85
中正站,2024/11/19 09:00,36,臭氧8小時,29.13,11,29,0.5,1.09,18.34
中正站,2024/11/19 10:00,35,臭氧8小時,33.08,10,25,0.45,1.1,16.17
中正站,2024/11/19 11:00,34,臭氧8小時,34.24,6,24,0.43,1.2,15.48
中正站,2024/11/19 12:00,33,臭氧8小時,35.74,2,27,0.43,1.16,13.64
中正站,2024/11/19 13:00,32,臭氧8小時,35.53,3,26,0.43,0.98,14.1
中正站,2024/11/19 14:00,31,臭氧8小時,33.21,7,22,0.44,1.25,15.64
中正站,2024/11/19 15:00,31,臭氧8小時,32.27,8,26,0.43,1.06,16.54
中正站,2024/11/19 16:00,31,臭氧8小時,33.29,6,19,0.44,1.12,15.74
中正站,2024/11/19 17:00,31,臭氧8小時,32.11,5,23,0.51,0.83,15.79
中正站,2024/11/19 18:00,31,臭氧8小時,30.66,6,17,0.54,0.97,17.54
中正站,2024/11/19 19:00,31,臭氧8小時,34.15,6,12,0.47,0.94,13.95
中正站,2024/11/19 20:00,31,臭氧8小時,36.23,6,20,0.43,0.98,12.37
中正站,2024/11/19 21:00,32,臭氧8小時,41.13,4,12,0.43,0.95,9.96
中正站,2024/11/19 22:00,32,臭氧8小時,40.66,4,14,0.43,0.88,8.74
中正站,2024/11/19 23:00,33,臭氧8小時,40.24,9,11,0.41,1.15,8.44
中正站,2024/11/20 00:00,35,臭氧8小時,43.43,8,12,0.36,1.09,5.07
中正站,2024/11/20 01:00,36,臭氧8小時,44.49,5,11,0.34,0.9,3.29
中正站,2024/11/20 02:00,38,臭氧8小時,44.36,3,11,0.34,1.03,3.04
中正站,2024/11/20 03:00,39,臭氧8小時,43.95,5,13,0.32,1.38,3.27
中正站,2024/11/20 04:00,40,臭氧8小時,43.35,5,11,0.34,1.21,3.32
中正站,2024/11/20 05:00,40,臭氧8小時,41.49,4,13,0.35,1.05,4.25
中正站,2024/11/20 06:00,39,臭氧8小時,37.45,3,11,0.42,1.02,7.89
中正站,2024/11/20 07:00,38,臭氧8小時,30.57,5,14,0.56,1.03,14.41
中正站,2024/11/20 08:00,36,臭氧8小時,28.51,6,16,0.62,0.94,18.09
中正站,2024/11/20 09:00,35,臭氧8小時,32.13,6,19,0.51,1.14,16.35
中正站,2024/11/20 10:00,34,臭氧8小時,32.64,4,11,0.48,1.4,15.06
中正站,2024/11/20 11:00,33,臭氧8小時,34.88,4,16,0.46,1.54,13.88
中正站,2024/11/20 12:00,32,臭氧8小時,38.42,4,13,0.44,1.6,10.37
中正站,2024/11/20 13:00,32,臭氧8小時,37.87,6,12,0.45,1.09,10.93
中正站,2024/11/20 14:00,31,臭氧8小時,35.54,3,13,0.46,0.77,11.56
中正站,2024/11/20 15:00,32,臭氧8小時,33.42,1,11,0.48,1.15,14.46
中正站,2024/11/20 16:00,32,臭氧8小時,34.2,2,19,0.5,1.09,13.54
中正站,2024/11/20 17:00,32,臭氧8小時,31.9,5,11,0.58,0.81,15.7
中正站,2024/11/20 18:00,32,臭氧8小時,33.43,5,17,0.6,0.94,15.27
中正站,2024/11/20 19:00,33,臭氧8小時,37.35,6,10,0.54,0.95,12.31
中正站,2024/11/20 20:00,33,臭氧8小時,39.21,6,11,0.48,0.97,10.88
中正站,2024/11/20 21:00,33,臭氧8小時,38.42,3,11,0.49,0.94,9.99
中正站,2024/11/20 22:00,33,臭氧8小時,39.57,2,10,0.47,0.85,9.78
中正站,2024/11/20 23:00,34,臭氧8小時,42.6,1,8,0.42,0.84,6.71
