activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,4063,,,,garmin,1,,3488215908,,,,2024-11-19 14:21:00,,,monitoring_b,,,,,,,,,,,,
,,,,,,,,,4063,,,,garmin,,,3488215908,3.23,,,,2024-11-19 14:21:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,
"(6, 1)",,"(0.0448, 0.1416)","(1.6198, 2.4296)",,,,,,,,,2024-11-19 22:21:00,,,1911,,,,,,2024-11-19 14:21:00,,,,,,,,,,,,"(7500, 7500)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(244, 82, 159, 65, 0, 2, 0, 132, 155, 0, 0, 9, 55, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(244, 82, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-19 14:21:00,,,,,,,,0,0,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,1100960460,,,,,,,,
,,,,200,200,,78,marker,,,,,,,,,,,,,2024-11-19 14:21:40,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(244, 82, 159, 65, 0, 2, 0, 132, 155, 0, 0, 9, 55, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(244, 82, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-19 14:21:00,,,,,,,,,,,,,,
,,,,,,,,,,86,,,,,,,,,,,,21256,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(138, 255, 255, 255)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 14:23:00,58,,,,,,,-44,,75,,,125,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1387,,,1100960580,,,,,,,,
,,,,,,,,,,84,,,,,,,,,,,,21316,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(254, 0, 0, 192)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-19 14:24:00,60,,,,,,,-46,,75,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1323,,,1100960640,,,,,,,,
"(6, 1)",,"(0.0394, 0.124)","(1.6016, 2.4024)",,,,,,,,,2024-11-19 22:24:00,,,1952,,,,,,2024-11-19 14:24:00,,,,,,,,,,,,"(7500, 7500)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 0, 2, 0, 218, 158, 0, 0, 181, 61, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
sedentary,"(104,)",,,,,,,,,,3,,,,,,,,,,2024-11-19 14:24:00,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,1100960640,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-19 14:24:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(128, 83, 159, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
