active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,4063,,,,garmin,,80,,3488215908,,,,,2024-12-02 04:26:00,,,monitoring_b,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4063,,,,garmin,,,,3488215908,3.25,,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,
,,"(6, 1)",,,"(0.039, 0.1234)","(1.5924, 2.3886)",,,,,,,,,,,2024-12-02 12:26:00,,,,1942,,,,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,"(5690, 5690)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 0, 2, 0, 10, 158, 0, 0, 20, 60, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
25,675.0,generic,,0.0,,,,,0.0,746,,,,,,,,,,,,,,,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,,,,
18,750.0,walking,,,,,,,188.7,746,,,,,,,,,,,,,,237,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,,,,
0,15.0,running,,,,,,,27.47,746,,,,,,,,,,,,,,23,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:26:00,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,,,,,1102047960,,,,,,,,,
,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,1102047960,,,,,,,,,
,,,,,,,200,200,,,,78,marker,,,,,,,,,,,,,,,2024-12-02 04:26:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 3, 113, 84, 0, 0, 239, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 4, 27, 4, 0, 0, 254, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 5, 45, 0, 0, 0, 254, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 6, 238, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(216, 234, 175, 65, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,
,,,,,,,1,1,,,,54,marker,,,,,,,,,,,,,,,2024-12-02 04:27:00,,,,,8,1102047060,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:27:00,75,,,,,,,,,,-66,,50,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165,,,,,,1102048020,,,,,,,,,
,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,60180,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(30, 43, 210, 193)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:28:00,70,,,,,,,,,,-60,,50,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,,,,,,1102048080,,,,,,,,,
,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,60240,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 0, 4, 240)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:29:00,61,,,,,,,,,,-48,,50,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357,,,,,,1102048140,,,,,,,,,
,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,60300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(34, 0, 0, 248)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:30:00,66,,,,,,,,,,-54,,50,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,,,,,,1102048200,,,,,,,,,
,,,,,,,1,1,,,,41,marker,,,,,,,,,,,,,,,2024-12-02 04:30:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20, 0, 0, 248)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:31:00,66,,,,,,,,,,-55,,49,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,,,,,,1102048260,,,,,,,,,
,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,60420,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 96, 1, 176)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:32:00,66,,,,,,,,,,-54,,49,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304,,,,,,1102048320,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 0, 4, 240)",,,,,,,,,,
,,,,,,,6,6,,,,54,marker,,,,,,,,,,,,,,,2024-12-02 04:33:00,,,,,0,1102047120,,,,,,,,,,,,
,,sedentary,"(104,)",,,,,,,,,,,,,3,,,,,,,,,,,,2024-12-02 04:32:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:33:00,69,,,,,,,,,,-59,,49,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,1102048380,,,,,,,,,
,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,60540,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,,
,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,,2024-12-02 04:33:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-02 04:34:00,63,,,,,,,,,,-50,,49,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,,,,,,1102048440,,,,,,,,,
,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,60600,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 68, 1, 176)",,,,,,,,,,
